Bait,Prey,AvgSpec
AOX,A3KMH1,58
AOX,O00217,6.5
AOX,O43920,5.5
AOX,O75306,34
AOX,O75380,11.25
AOX,O75489,22.75
AOX,O75521,10.5
AOX,O75616,7.75
AOX,O75947,9.5
AOX,O75964,2.75
AOX,O94925,34.5
AOX,O95202,50
AOX,O96000,2.5
AOX,P00403,2.25
AOX,P06576,60.25
AOX,P10515,6.25
AOX,P10606,9
AOX,P13073,3.75
AOX,P18859,4
AOX,P19404,10
AOX,P20674,3.5
AOX,P22695,8.25
AOX,P24539,4.25
AOX,P25705,20.75
AOX,P28331,36.5
AOX,P29353,3
AOX,P30405,8.25
AOX,P31040,36.5
AOX,P31930,9.75
AOX,P32322,31.75
AOX,P34897,61.75
AOX,P35232,51.75
AOX,P36957,19.75
AOX,P38117,17.25
AOX,P40939,8.75
AOX,P46199,6.25
AOX,P48047,11.5
AOX,P49753,111.75
AOX,P49821,19.5
AOX,P51398,17.25
AOX,P82673,13.75
AOX,P82930,15.5
AOX,Q04837,18.75
AOX,Q12849,7.75
AOX,Q16718,10.25
AOX,Q16740,14.5
AOX,Q16795,20.25
AOX,Q5T9A4,8.5
AOX,Q5TC12,14
AOX,Q6UB35,24.25
AOX,Q6YN16,7.5
AOX,Q7L0Y3,18.25
AOX,Q86TX2,125
AOX,Q92665,22
AOX,Q96C36,55.5
AOX,Q96EL2,12.75
AOX,Q99714,107.75
AOX,Q9BRJ6,2.5
AOX,Q9BSH4,20.25
AOX,Q9H845,20.75
AOX,Q9HD33,12.5
AOX,Q9NP80,3.5
AOX,Q9NPL8,2
AOX,Q9NSE4,44.25
AOX,Q9P032,13.25
AOX,Q9P0J0,4.5
AOX,Q9UI30,2.5
AOX,Q9Y2Q9,4.25
AOX,Q9Y2S7,22.75
AOX,Q9Y3Y2,4.25
AOX,Q9Y4W6,49.25
AOX,Q9Y5L4,3
AOX,A8MXV4,9.75
AOX,AOX,176.75
AOX,O00746,18.75
AOX,O14561,4.5
AOX,O43181,5.75
AOX,O43615,31.75
AOX,O43678,5.25
AOX,O43716,6.75
AOX,O43837,6.5
AOX,O60783,4.75
AOX,O75027,2
AOX,O75127,7.25
AOX,O75251,8.5
AOX,O75390,16.25
AOX,O75394,2
AOX,O75439,7.5
AOX,O75570,2.5
AOX,O75879,16.5
AOX,O75880,3.25
AOX,O76031,46.25
AOX,O95182,11.75
AOX,P04181,21.75
AOX,P05091,9
AOX,P05141,26.75
AOX,P09001,11.75
AOX,P09543,2.5
AOX,P09622,21.5
AOX,P0DMV8,50
AOX,P10809,120.5
AOX,P11310,10.75
AOX,P12235,19.5
AOX,P12694,2
AOX,P13196,10.25
AOX,P13804,12
AOX,P13995,7.75
AOX,P14927,3
AOX,P21912,12.75
AOX,P22033,4.25
AOX,P22830,13.5
AOX,P23368,8.5
AOX,P24752,16.25
AOX,P27144,13
AOX,P30038,3
AOX,P30042,4
AOX,P30048,16.75
AOX,P30049,2
AOX,P30084,23.25
AOX,P30837,5.75
AOX,P33316,6
AOX,P36542,8.5
AOX,P36776,25.75
AOX,P38646,200.25
AOX,P41250,3
AOX,P42704,82.5
AOX,P42765,2.5
AOX,P43897,5
AOX,P45954,13.5
AOX,P47985,2
AOX,P49406,7.25
AOX,P49419,2
AOX,P49590,8.25
AOX,P49748,23.25
AOX,P50213,4.25
AOX,P51649,4.25
AOX,P52815,7.75
AOX,P53597,9.5
AOX,P54098,3
AOX,P55084,2.5
AOX,P55809,7.5
AOX,P56556,6.25
AOX,P61604,18.75
AOX,P78540,3.5
AOX,P82650,19
AOX,P82663,12
AOX,P82664,7
AOX,P82675,21.25
AOX,P82909,11.5
AOX,P82912,6.25
AOX,P82932,3.75
AOX,P82933,13
AOX,Q02218,61.75
AOX,Q08J23,5.5
AOX,Q10713,10
AOX,Q12931,27.25
AOX,Q13011,20.25
AOX,Q13057,2
AOX,Q13084,18.25
AOX,Q13405,4.5
AOX,Q13423,15.5
AOX,Q14197,6.75
AOX,Q14683,8.25
AOX,Q15031,14.75
AOX,Q15046,5
AOX,Q15070,6
AOX,Q15118,2.75
AOX,Q15120,4.25
AOX,Q16540,5
AOX,Q16775,9.25
AOX,Q16836,4.5
AOX,Q32P41,9.5
AOX,Q4G0N4,3.75
AOX,Q4J6C6,4.5
AOX,Q4U2R6,3.75
AOX,Q5JRX3,3.5
AOX,Q5JTH9,6.75
AOX,Q5JTZ9,3.25
AOX,Q5ST30,6.5
AOX,Q5T1C6,17
AOX,Q5T440,18
AOX,Q5T653,8.75
AOX,Q5TEU4,8.75
AOX,Q5U5X0,6.25
AOX,Q5VTE6,6.25
AOX,Q5VUM1,2.5
AOX,Q5VWZ2,12.5
AOX,Q6L8Q7,7.25
AOX,Q6NVY1,9
AOX,Q6P1L8,4.5
AOX,Q6P1X6,10
AOX,Q6PI48,8
AOX,Q6PML9,21
AOX,Q7L2E3,5.5
AOX,Q7L592,7
AOX,Q7Z2W9,10.5
AOX,Q7Z333,1.5
AOX,Q7Z4G4,6.5
AOX,Q7Z4W1,2
AOX,Q7Z7F7,3.5
AOX,Q7Z7H8,4.5
AOX,Q86SX6,4.5
AOX,Q86TS9,2
AOX,Q86UY8,7.5
AOX,Q8IXM3,7.5
AOX,Q8IYB8,8
AOX,Q8IYQ7,11.75
AOX,Q8N0X4,6.5
AOX,Q8N183,19.75
AOX,Q8N442,12
AOX,Q8N5M1,5.5
AOX,Q8N5N7,7.25
AOX,Q8N983,7.25
AOX,Q8NCN5,4.25
AOX,Q8NFF5,7.25
AOX,Q8TAE8,10.5
AOX,Q8TB37,2.25
AOX,Q8TBP6,2.75
AOX,Q8TCC3,1.5
AOX,Q8TCS8,25.25
AOX,Q8TDD1,8
AOX,Q8WUK0,5.75
AOX,Q8WV74,3.5
AOX,Q8WW59,4.75
AOX,Q8WWC4,2
AOX,Q8WWV3,20.75
AOX,Q92506,3.75
AOX,Q92552,15
AOX,Q92947,2.25
AOX,Q969Y2,3
AOX,Q96A35,12
AOX,Q96DA6,2.5
AOX,Q96DV4,16.25
AOX,Q96E29,2.5
AOX,Q96EH3,3.75
AOX,Q96EL3,6.25
AOX,Q96EY1,5.75
AOX,Q96EY7,32.5
