Bait,Prey,AvgSpec,Localization
43717,P62244,5,ACTF
43717,P55884,2,ACTF
43717,Q5VVD0,5,ACTF
43717,Q9P0V9,5.5,ACTF
43718,Q99719,2.5,ACTF
43718,P49454,13.5,ACTF
43718,P07814,127,ACTF
ACTB,Q08495,2.5,ACTF
ACTB,O00401,4.5,ACTF
ACTB,P37802,55,ACTF
ACTB,P13796,15,ACTF
ACTB,Q9UKT4,2,ACTF
ACTB,Q96C19,15,ACTF
ACTB,Q0ZGT2,12,ACTF
ACTB,Q9NZR1,3,ACTF
ACTB,Q5JPJ8,8.5,ACTF
ACTB,Q5SYE7,7,ACTF
ACTB,A0MZ66,39.5,ACTF
ACTB,Q86TP1,5.5,ACTF
ACTB,Q53HG7,108.5,ACTF
ACTB,Q9Y613,12.5,ACTF
ACTB,Q01518,63,ACTF
ACTB,Q8WZ74,2,ACTF
ACTB,A0A0S2Z4Y3,8,ACTF
ACTB,Q12929,5.5,ACTF
ACTB,Q9UKY7,7,ACTF
ACTB,Q8NBF2,4.5,ACTF
ACTB,P28289,3,ACTF
ACTB,A6NGB9,5.5,ACTF
ACTB,Q96JH7,34.5,ACTF
ACTB,P23677,3,ACTF
ACTB,Q9Y608,3,ACTF
ACTB,O75167,6,ACTF
ACTB,P54578,10,ACTF
ACTB,Q9Y4D1,2.5,ACTF
ACTB,Q9Y6U3,9,ACTF
ACTB,A1L390,4,ACTF
ACTB,Q96M96,5,ACTF
ACTB,P83436,4,ACTF
ACTB,Q8WVD2,2.5,ACTF
ACTB,Q32MZ4,8,ACTF
ACTB,Q7Z4H3,3,ACTF
ACTB,Q155Q3,2.5,ACTF
ACTB,Q15417,33,ACTF
ACTB,Q9BQI0,4,ACTF
ACTB,Q8TF74,14.5,ACTF
ACTB,V9HW92,15.5,ACTF
ACTB,P68032,101.5,ACTF
ACTR2,P68133,22,ACTF
ACTR2,Q9Y3I0,5,ACTF
TJP2,Q0PNE2,4,JUNC
TJP2,Q9NZI7,2,JUNC
TJP2,Q5T0N5,7,JUNC
TJP2,Q9P2M7,10,JUNC
TJP2,O43639,3.5,JUNC
TJP2,Q9H9I0,5.5,JUNC
TJP2,Q96B97,3,JUNC
TJP2,Q9H467,3,JUNC
TJP2,Q9P2B7,18.5,JUNC
TJP2,Q8IVM0,4,JUNC
TJP2,Q96QZ7,16.5,JUNC
TJP2,Q86T74,6.5,JUNC
TJP2,P49959,85.5,JUNC
TJP2,P55010,42,JUNC
TJP2,O95067,3,JUNC
TJP1,P46976,6.5,JUNC
TJP1,Q8TCN5,3.5,JUNC
TJP1,Q0VF96,4,JUNC
CCDC14,Q12840,4.5,CEN
CCDC14,Q86T90,3.5,CEN
CCDC14,Q9NPJ6,4,CEN
CCDC14,Q13427,4,CEN
CCDC14,Q9NWB6,24,CEN
CCDC14,Q8N9Q2,2.5,CEN
CCDC14,Q5BJF6,5,CEN
CCDC14,Q5VTL8,8.5,CEN
CCDC14,Q9Y3C8,2,CEN
CCDC14,A2RUB6,7,CEN
CCDC14,P52735,4,CEN
PCNT,Q96PV0,3,CEN
PCNT,Q86YT6,11,CEN
PCNT,O75146,2,CEN
DCTN2,Q9H6X5,4.5,CEN
DCTN2,P30086,7,CEN
DCTN2,O75934,4.5,CEN
DCTN2,Q16576,20.5,CEN
DCTN2,Q9H3R5,20,CEN
DCTN2,Q9NX70,2.5,CEN
DCTN2,Q86SX3,14,CEN
PAFAH1B1,Q9NQ92,3,CEN
PAFAH1B1,Q02224,6,CEN
PAFAH1B1,P30622,2.5,CEN
HIST1H3A,Q5QNW6,107.5,CHR
HIST1H3A,Q9H2P0,48,CHR
HIST1H3A,Q9NVP2,23,CHR
HIST1H3A,O15164,9,CHR
HIST1H3A,P82979,4,CHR
HIST1H3A,Q9UBW7,6.5,CHR
HIST1H3A,P54198,14,CHR
HIST1H3A,P49321,309.5,CHR
HIST1H3A,O14497,2.5,CHR
HIST1H3A,Q96T58,30.5,CHR
HIST1H3A,P82675,2.5,CHR
HIST1H3A,Q9H0E3,2,CHR
HIST1H3A,Q8IXM2,3.5,CHR
HIST1H3A,Q9C005,3.5,CHR
HIST1H3A,Q9BTC8,8.5,CHR
HIST1H3A,Q9Y294,14.5,CHR
HIST1H3A,Q96FF9,4,CHR
HIST1H3A,Q9BXS6,2.5,CHR
HIST1H3A,Q03164,12,CHR
HIST1H3A,A7E2E1,12.5,CHR
HIST1H3A,Q6N043,2.5,CHR
HIST1H3A,Q4LE64,119.5,CHR
HIST1H3A,Q9UBB5,2,CHR
HIST1H3A,Q9BRL8,34.5,CHR
HIST1H3A,P07305,4,CHR
HIST1H3A,O95983,12,CHR
HIST1H3A,Q15910,3.5,CHR
HIST1H3A,Q86U86,7,CHR
HIST1H3A,Q14676,87.5,CHR
HIST1H3A,Q9P0M6,10,CHR
HIST1H3A,O14929,12,CHR
HIST1H3A,Q9UIG0,126.5,CHR
HIST1H3A,Q149N8,40,CHR
HIST1H3A,Q8N806,9,CHR
HIST1H3A,Q13112,28,CHR
HIST1H3A,O75530,4,CHR
HIST1H3A,Q96KQ7,6,CHR
HIST1H3A,Q9HBA9,3,CHR
H31,Q12873,41.25,CHR
H31,Q8NEM2,5.75,CHR
H31,O75792,2.75,CHR
H31,Q6P1X5,4.75,CHR
H31,Q99575,6.5,CHR
H31,Q16594,4.5,CHR
H31,O60244,4,CHR
H31,Q9Y6J9,4.25,CHR
H31,Q96DE5,2.75,CHR
H31,Q92830,5.75,CHR
H31,Q15542,14.75,CHR
H31,O00268,9.75,CHR
H31,Q13042,9.25,CHR
