Bait,Prey,AvgSpec,Localization
MAC_C_068_BIO_PDK1,Q15118,112.25,matrix
MAC_C_068_BIO_PDK1,Q86TX2,111.25,matrix
MAC_C_068_BIO_PDK1,P49753,88.5,matrix
MAC_C_068_BIO_PDK1,Q02218,53.75,matrix
MAC_C_068_BIO_PDK1,O94925,33.5,matrix
MAC_C_068_BIO_PDK1,Q96C36,57,matrix
MAC_C_068_BIO_PDK1,P32322,38.25,matrix
MAC_C_068_BIO_PDK1,Q9NSE4,40.75,matrix
MAC_C_068_BIO_PDK1,O76031,38.75,matrix
MAC_C_068_BIO_PDK1,A3KMH1,36.25,matrix
MAC_C_068_BIO_PDK1,Q15119,15.75,matrix
MAC_C_068_BIO_PDK1,Q9BSH4,12.5,matrix
MAC_C_068_BIO_PDK1,Q96EL2,13,matrix
MAC_C_068_BIO_PDK1,Q15120,21.25,matrix
MAC_C_068_BIO_PDK1,Q7L0Y3,17.5,matrix
MAC_C_068_BIO_PDK1,Q9Y3D9,12.25,matrix
MAC_C_068_BIO_PDK1,Q9Y4W6,13.75,matrix
MAC_C_068_BIO_PDK1,Q96EY8,14.25,matrix
MAC_C_068_BIO_PDK1,P28331,19.5,matrix
MAC_C_068_BIO_PDK1,Q8TCS8,20,matrix
MAC_C_068_BIO_PDK1,Q96EY7,20.75,matrix
MAC_C_068_BIO_PDK1,P23368,16,matrix
MAC_C_068_BIO_PDK1,Q5T1C6,12.5,matrix
MAC_C_068_BIO_PDK1,P31040,13.75,matrix
MAC_C_068_BIO_PDK1,Q13011,17,matrix
MAC_C_068_BIO_PDK1,Q8WWV3,11,matrix
MAC_C_068_BIO_PDK1,Q15031,13.25,matrix
MAC_C_068_BIO_PDK1,Q92665,11.5,matrix
MAC_C_068_BIO_PDK1,P24752,12,matrix
MAC_C_068_BIO_PDK1,O75380,10.75,matrix
MAC_C_068_BIO_PDK1,Q6UB35,19.5,matrix
MAC_C_068_BIO_PDK1,Q9HA77,15.5,matrix
MAC_C_068_BIO_PDK1,P49821,14.25,matrix
MAC_C_068_BIO_PDK1,P82675,15.75,matrix
MAC_C_068_BIO_PDK1,P82650,10.75,matrix
MAC_C_068_BIO_PDK1,Q9H0R6,12,matrix
MAC_C_068_BIO_PDK1,O75616,11.75,matrix
MAC_C_068_BIO_PDK1,Q16740,14,matrix
MAC_C_068_BIO_PDK1,O75879,13,matrix
MAC_C_068_BIO_PDK1,Q9H9J2,8.25,matrix
MAC_C_068_BIO_PDK1,P05091,11.75,matrix
MAC_C_068_BIO_PDK1,P82673,10.25,matrix
MAC_C_068_BIO_PDK1,P30405,7.25,matrix
MAC_C_068_BIO_PDK1,Q92552,10.25,matrix
MAC_C_068_BIO_PDK1,Q5T440,13.5,matrix
MAC_C_068_BIO_PDK1,O43615,13.5,matrix
MAC_C_068_BIO_PDK1,P38117,11,matrix
MAC_C_068_BIO_PDK1,Q9H2U2,9.75,matrix
MAC_C_068_BIO_PDK1,O95202,12.75,matrix
MAC_C_068_BIO_PDK1,P36957,10.25,matrix
MAC_C_068_BIO_PDK1,Q9Y2S7,12.25,matrix
MAC_C_068_BIO_PDK1,P13804,12.25,matrix
MAC_C_068_BIO_PDK1,P54098,8.75,matrix
MAC_C_068_BIO_PDK1,Q04837,11,matrix
MAC_C_068_BIO_PDK1,P30084,12.5,matrix
MAC_C_068_BIO_PDK1,P13196,10.25,matrix
MAC_C_068_BIO_PDK1,Q9BQ52,10,matrix
MAC_C_068_BIO_PDK1,Q9Y676,7,matrix
MAC_C_068_BIO_PDK1,Q9Y2R9,12,matrix
MAC_C_068_BIO_PDK1,P82930,9,matrix
MAC_C_068_BIO_PDK1,Q9Y305,8.75,matrix
MAC_C_068_BIO_PDK1,P13995,5.5,matrix
MAC_C_068_BIO_PDK1,P82909,8.5,matrix
MAC_C_068_BIO_PDK1,Q8IYQ7,9.5,matrix
MAC_C_068_BIO_PDK1,Q9BQP7,6.25,matrix
MAC_C_068_BIO_PDK1,P51398,13.5,matrix
MAC_C_068_BIO_PDK1,P82932,5.75,matrix
MAC_C_068_BIO_PDK1,P10515,7.25,matrix
MAC_C_068_BIO_PDK1,O00746,9.25,matrix
MAC_C_068_BIO_PDK1,Q96HY7,11.5,matrix
MAC_C_068_BIO_PDK1,Q5TC12,8.5,matrix
MAC_C_068_BIO_PDK1,Q9BRJ2,7.75,matrix
MAC_C_068_BIO_PDK1,O75521,5.25,matrix
MAC_C_068_BIO_PDK1,Q8N983,5.25,matrix
MAC_C_068_BIO_PDK1,P82933,12.25,matrix
MAC_C_068_BIO_PDK1,Q6YN16,6.75,matrix
MAC_C_068_BIO_PDK1,Q9BVS5,4.5,matrix
MAC_C_068_BIO_PDK1,P45954,7.75,matrix
MAC_C_068_BIO_PDK1,Q9NP81,5.25,matrix
MAC_C_068_BIO_PDK1,A8MXV4,6.75,matrix
MAC_C_068_BIO_PDK1,Q10713,5.75,matrix
MAC_C_068_BIO_PDK1,P43897,4,matrix
MAC_C_068_BIO_PDK1,Q12849,9,matrix
MAC_C_068_BIO_PDK1,P53597,8,matrix
MAC_C_068_BIO_PDK1,Q9NWX6,5.75,matrix
MAC_C_068_BIO_PDK1,P27144,9.25,matrix
MAC_C_068_BIO_PDK1,Q15046,5.5,matrix
MAC_C_068_BIO_PDK1,Q16795,8.75,matrix
MAC_C_068_BIO_PDK1,Q9BX68,7.5,matrix
MAC_C_068_BIO_PDK1,P36776,4.5,matrix
MAC_C_068_BIO_PDK1,Q9Y399,5.75,matrix
MAC_C_068_BIO_PDK1,Q969Y2,4.25,matrix
MAC_C_068_BIO_PDK1,Q32P41,7,matrix
MAC_C_068_BIO_PDK1,O75306,8.75,matrix
MAC_C_068_BIO_PDK1,Q9UGC7,6.25,matrix
MAC_C_068_BIO_PDK1,Q9NUJ1,4.75,matrix
MAC_C_068_BIO_PDK1,O43716,4.75,matrix
MAC_C_068_BIO_PDK1,Q16775,6.5,matrix
MAC_C_068_BIO_PDK1,P30042,4.75,matrix
MAC_C_068_BIO_PDK1,Q9UIJ7,6.75,matrix
MAC_C_068_BIO_PDK1,Q6PI48,6.25,matrix
MAC_C_068_BIO_PDK1,Q9Y2Z4,7.25,matrix
MAC_C_068_BIO_PDK1,Q9BZE1,5.25,matrix
MAC_C_068_BIO_PDK1,Q9H2W6,4.5,matrix
