a4d1p6	{'bait': 'rab9a', 'prey': 'a4d1p6', 'avgspec': '8.5'}
o15021	{'bait': 'ankfy1', 'prey': 'o15021', 'avgspec': '2'}
q14185	{'bait': 'ankfy1', 'prey': 'q14185', 'avgspec': '2.5'}
q5t1m5	{'bait': 'rab9a', 'prey': 'q5t1m5', 'avgspec': '8'}
q96py6	{'bait': 'ankfy1', 'prey': 'q96py6', 'avgspec': '7.5'}
o43314	{'bait': 'eea1', 'prey': 'o43314', 'avgspec': '7.75'}
q5vyk3	{'bait': 'eea1', 'prey': 'q5vyk3', 'avgspec': '2.75'}
q8wxa3	{'bait': 'rab9a', 'prey': 'q8wxa3', 'avgspec': '8.5'}
a0a024rbs4	{'bait': 'rab9a', 'prey': 'a0a024rbs4', 'avgspec': '3'}
o00399	{'bait': 'rab11a', 'prey': 'o00399', 'avgspec': '2'}
o00522	{'bait': 'rab11a', 'prey': 'o00522', 'avgspec': '4'}
o15405	{'bait': 'rab11a', 'prey': 'o15405', 'avgspec': '2'}
o60239	{'bait': 'rab11a', 'prey': 'o60239', 'avgspec': '6'}
o60879	{'bait': 'rab11a', 'prey': 'o60879', 'avgspec': '13'}
o75096	{'bait': 'rab11a', 'prey': 'o75096', 'avgspec': '7'}
o75154	{'bait': 'rab11a', 'prey': 'o75154', 'avgspec': '2.5'}
p08183	{'bait': 'rab11a', 'prey': 'p08183', 'avgspec': '4'}
p0dpb3	{'bait': 'rab11a', 'prey': 'p0dpb3', 'avgspec': '10'}
p15927	{'bait': 'rab11a', 'prey': 'p15927', 'avgspec': '4.75'}
p18084	{'bait': 'rab11a', 'prey': 'p18084', 'avgspec': '8'}
p42025	{'bait': 'rab11a', 'prey': 'p42025', 'avgspec': '5.75'}
p43005	{'bait': 'rab11a', 'prey': 'p43005', 'avgspec': '5'}
p51148	{'bait': 'rab11a', 'prey': 'p51148', 'avgspec': '1.75'}
p51784	{'bait': 'rab11a', 'prey': 'p51784', 'avgspec': '23.5'}
p55899	{'bait': 'rab11a', 'prey': 'p55899', 'avgspec': '2'}
p62633	{'bait': 'rab11a', 'prey': 'p62633', 'avgspec': '3.75'}
p78348	{'bait': 'rab11a', 'prey': 'p78348', 'avgspec': '2'}
q00059	{'bait': 'rab11a', 'prey': 'q00059', 'avgspec': '2.5'}
q05dh4	{'bait': 'rab11a', 'prey': 'q05dh4', 'avgspec': '2.5'}
q12982	{'bait': 'rab11a', 'prey': 'q12982', 'avgspec': '8'}
q13635	{'bait': 'rab11a', 'prey': 'q13635', 'avgspec': '3.5'}
q15599	{'bait': 'rab11a', 'prey': 'q15599', 'avgspec': '2.5'}
q2kht3	{'bait': 'rab11a', 'prey': 'q2kht3', 'avgspec': '3'}
q2nld0	{'bait': 'rab9a', 'prey': 'q2nld0', 'avgspec': '13.5'}
q59fe7	{'bait': 'rab11a', 'prey': 'q59fe7', 'avgspec': '15.5'}
q59fg2	{'bait': 'rab11a', 'prey': 'q59fg2', 'avgspec': '2'}
q5ebl4	{'bait': 'rab11a', 'prey': 'q5ebl4', 'avgspec': '3.5'}
q5r372	{'bait': 'rab9a', 'prey': 'q5r372', 'avgspec': '3'}
q5ta12	{'bait': 'rab11a', 'prey': 'q5ta12', 'avgspec': '3.5'}
q6p499	{'bait': 'rab11a', 'prey': 'q6p499', 'avgspec': '3.5'}
q6ulp2	{'bait': 'rab11a', 'prey': 'q6ulp2', 'avgspec': '28'}
q6znj1	{'bait': 'rab11a', 'prey': 'q6znj1', 'avgspec': '9'}
q6zqn7	{'bait': 'rab11a', 'prey': 'q6zqn7', 'avgspec': '3.5'}
q6zut9	{'bait': 'rab11a', 'prey': 'q6zut9', 'avgspec': '41.5'}
q86w33	{'bait': 'rab11a', 'prey': 'q86w33', 'avgspec': '2'}
q8iyu2	{'bait': 'rab11a', 'prey': 'q8iyu2', 'avgspec': '7'}
q8iz41	{'bait': 'rab11a', 'prey': 'q8iz41', 'avgspec': '3.5'}
q8izq1	{'bait': 'rab11a', 'prey': 'q8izq1', 'avgspec': '2.5'}
q8n573	{'bait': 'rab9a', 'prey': 'q8n573', 'avgspec': '3'}
q8n9m5	{'bait': 'rab11a', 'prey': 'q8n9m5', 'avgspec': '3'}
q8n9u0	{'bait': 'rab11a', 'prey': 'q8n9u0', 'avgspec': '3.5'}
q8nc59	{'bait': 'rab11a', 'prey': 'q8nc59', 'avgspec': '3'}
q8tag9	{'bait': 'rab11a', 'prey': 'q8tag9', 'avgspec': '25.5'}
q8tbn0	{'bait': 'rab11a', 'prey': 'q8tbn0', 'avgspec': '6'}
q8tdj6	{'bait': 'rab11a', 'prey': 'q8tdj6', 'avgspec': '5.5'}
q8tdw5	{'bait': 'rab11a', 'prey': 'q8tdw5', 'avgspec': '6'}
q8wwl2	{'bait': 'rab11a', 'prey': 'q8wwl2', 'avgspec': '5'}
q96c24	{'bait': 'rab11a', 'prey': 'q96c24', 'avgspec': '4'}
q96cn4	{'bait': 'rab11a', 'prey': 'q96cn4', 'avgspec': '3.5'}
q96ii5	{'bait': 'rab11a', 'prey': 'q96ii5', 'avgspec': '2.5'}
q96kp1	{'bait': 'rab11a', 'prey': 'q96kp1', 'avgspec': '21.5'}
q96n83	{'bait': 'rab11a', 'prey': 'q96n83', 'avgspec': '3'}
q96qf0	{'bait': 'rab11a', 'prey': 'q96qf0', 'avgspec': '12.5'}
q99835	{'bait': 'rab11a', 'prey': 'q99835', 'avgspec': '7'}
q9bsw2	{'bait': 'rab11a', 'prey': 'q9bsw2', 'avgspec': '7'}
