o00165	{'bait': 'aifm1c', 'prey': 'o00165', 'avgspec': '13.25'}
o00217	{'bait': 'aifm1c', 'prey': 'o00217', 'avgspec': '2.25'}
o43464	{'bait': 'aifm1c', 'prey': 'o43464', 'avgspec': '2.75'}
o43715	{'bait': 'aifm1c', 'prey': 'o43715', 'avgspec': '8.5'}
o43819	{'bait': 'aifm1c', 'prey': 'o43819', 'avgspec': '3'}
o43920	{'bait': 'aifm1c', 'prey': 'o43920', 'avgspec': '6.25'}
o60220	{'bait': 'aifm1c', 'prey': 'o60220', 'avgspec': '7.5'}
o75306	{'bait': 'aifm1c', 'prey': 'o75306', 'avgspec': '12.25'}
o75380	{'bait': 'aifm1c', 'prey': 'o75380', 'avgspec': '5.5'}
o75431	{'bait': 'aifm1c', 'prey': 'o75431', 'avgspec': '9'}
o75489	{'bait': 'aifm1c', 'prey': 'o75489', 'avgspec': '9'}
o75616	{'bait': 'aifm1c', 'prey': 'o75616', 'avgspec': '8'}
o75746	{'bait': 'aifm1c', 'prey': 'o75746', 'avgspec': '5.75'}
o75947	{'bait': 'aifm1c', 'prey': 'o75947', 'avgspec': '10.25'}
o75964	{'bait': 'aifm1c', 'prey': 'o75964', 'avgspec': '2.5'}
o94826	{'bait': 'aifm1c', 'prey': 'o94826', 'avgspec': '17.75'}
o94925	{'bait': 'aifm1c', 'prey': 'o94925', 'avgspec': '4.75'}
o96000	{'bait': 'aifm1c', 'prey': 'o96000', 'avgspec': '5'}
o96008	{'bait': 'aifm1c', 'prey': 'o96008', 'avgspec': '16.5'}
p00403	{'bait': 'aifm1c', 'prey': 'p00403', 'avgspec': '3'}
p06576	{'bait': 'aifm1c', 'prey': 'p06576', 'avgspec': '68.25'}
p07919	{'bait': 'aifm1c', 'prey': 'p07919', 'avgspec': '3.5'}
p08574	{'bait': 'aifm1c', 'prey': 'p08574', 'avgspec': '5.25'}
p09669	{'bait': 'aifm1c', 'prey': 'p09669', 'avgspec': '2'}
p10599	{'bait': 'aifm1c', 'prey': 'p10599', 'avgspec': '49.5'}
p10606	{'bait': 'aifm1c', 'prey': 'p10606', 'avgspec': '3.25'}
p12532	{'bait': 'aifm1c', 'prey': 'p12532', 'avgspec': '38.25'}
p13073	{'bait': 'aifm1c', 'prey': 'p13073', 'avgspec': '18.5'}
p14854	{'bait': 'aifm1c', 'prey': 'p14854', 'avgspec': '39'}
p18859	{'bait': 'aifm1c', 'prey': 'p18859', 'avgspec': '3.75'}
p19367	{'bait': 'aifm1c', 'prey': 'p19367', 'avgspec': '3.25'}
p19404	{'bait': 'aifm1c', 'prey': 'p19404', 'avgspec': '2.25'}
p20674	{'bait': 'aifm1c', 'prey': 'p20674', 'avgspec': '13'}
p24539	{'bait': 'aifm1c', 'prey': 'p24539', 'avgspec': '6.25'}
p25705	{'bait': 'aifm1c', 'prey': 'p25705', 'avgspec': '38.5'}
p28331	{'bait': 'aifm1c', 'prey': 'p28331', 'avgspec': '8'}
p30405	{'bait': 'aifm1c', 'prey': 'p30405', 'avgspec': '3.75'}
p31040	{'bait': 'aifm1c', 'prey': 'p31040', 'avgspec': '2.75'}
p31930	{'bait': 'aifm1c', 'prey': 'p31930', 'avgspec': '5.25'}
p32322	{'bait': 'aifm1c', 'prey': 'p32322', 'avgspec': '11.5'}
p34897	{'bait': 'aifm1c', 'prey': 'p34897', 'avgspec': '17.5'}
p35232	{'bait': 'aifm1c', 'prey': 'p35232', 'avgspec': '13.5'}
p36551	{'bait': 'aifm1c', 'prey': 'p36551', 'avgspec': '23.75'}
p36957	{'bait': 'aifm1c', 'prey': 'p36957', 'avgspec': '4'}
p38117	{'bait': 'aifm1c', 'prey': 'p38117', 'avgspec': '16'}
p46199	{'bait': 'aifm1c', 'prey': 'p46199', 'avgspec': '3.25'}
p49753	{'bait': 'aifm1c', 'prey': 'p49753', 'avgspec': '50.25'}
p49821	{'bait': 'aifm1c', 'prey': 'p49821', 'avgspec': '3.75'}
