Bait,Prey,AvgSpec,Localization
43717,Q9P0V9,5.5,ACT
43717,P62244,5,ACT
43717,Q5VVD0,5,ACT
43717,P55884,2,ACT
ACTB,Q53HG7,108.5,ACT
ACTB,P68032,101.5,ACT
ACTB,Q01518,63,ACT
ACTB,P37802,55,ACT
ACTB,Q562R1,44,ACT
ACTB,A0MZ66,39.5,ACT
ACTB,Q96JH7,34.5,ACT
ACTB,Q15417,33,ACT
ACTB,Q9UDY2,24.5,ACT
ACTB,Q96AF9,20.5,ACT
ACTB,Q969V6,17.5,ACT
ACTB,V9HW92,15.5,ACT
ACTB,P13796,15,ACT
ACTB,Q96C19,15,ACT
ACTB,Q8TF74,14.5,ACT
ACTB,Q9Y613,12.5,ACT
ACTB,Q0ZGT2,12,ACT
ACTB,Q6PJX3,12,ACT
ACTB,Q6FGM0,10.5,ACT
ACTB,P54578,10,ACT
ACTB,P18206,9,ACT
ACTB,Q9Y6U3,9,ACT
ACTB,Q5JPJ8,8.5,ACT
ACTB,A0A0S2Z4Y3,8,ACT
ACTB,Q32MZ4,8,ACT
ACTB,Q2NKX8,7,ACT
ACTB,Q5SYE7,7,ACT
ACTB,Q9UKY7,7,ACT
ACTB,P50552,6.5,ACT
ACTB,O75167,6,ACT
ACTB,A6NGB9,5.5,ACT
ACTB,O43768,5.5,ACT
ACTB,Q12929,5.5,ACT
ACTB,Q86TP1,5.5,ACT
ACTB,Q9Y281,5.5,ACT
ACTB,Q96M96,5,ACT
ACTB,O00401,4.5,ACT
ACTB,Q59HA3,4.5,ACT
ACTB,Q8NBF2,4.5,ACT
ACTB,A1L390,4,ACT
ACTB,P83436,4,ACT
ACTB,Q9BQI0,4,ACT
ACTB,Q96D71,3.5,ACT
ACTB,P23677,3,ACT
ACTB,P28289,3,ACT
ACTB,Q7Z4H3,3,ACT
ACTB,Q9NZR1,3,ACT
ACTB,Q9Y608,3,ACT
ACTB,Q08495,2.5,ACT
ACTB,Q155Q3,2.5,ACT
ACTB,Q8WVD2,2.5,ACT
ACTB,Q9GZZ1,2.5,ACT
ACTB,Q9Y4D1,2.5,ACT
ACTB,Q6IBS0,2,ACT
ACTB,Q8WZ74,2,ACT
ACTB,Q9UKT4,2,ACT
ACTR2,P68133,22,ACT
ACTR2,Q9Y3I0,5,ACT
ACTR2,Q8WVJ2,2.5,ACT
AGPS,O15228,101,PER
AGPS,Q59HG9,29,PER
AGPS,P04040,22.5,PER
AGPS,Q9UJ83,19,PER
AGPS,O75521,18.5,PER
AGPS,Q6YN16,16,PER
AGPS,Q9Y2Q3,16,PER
AGPS,Q08426,13.5,PER
AGPS,O14734,12.5,PER
AGPS,Q9BQG2,11,PER
AGPS,Q9NP80,11,PER
AGPS,P09110,9,PER
AGPS,Q15051,8.5,PER
AGPS,Q15067,8.5,PER
